ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
377056,T Nagar,Chennai,The Earthen Foods,300,3.3,"Biryani,Italian,Chinese",13.0418,80.2341,Locality (matched)
377065,Rajajinagar,Bangalore,Karavali Mess,250,4.3,Indian,12.9905,77.5554,Locality (matched)
377134,T Nagar,Chennai,Subhodayam Restaurant,300,3.9,"Chinese,South Indian,Andhra,Biryani,Desserts",13.0418,80.2341,Locality (matched)
377149,Navrangpura,Ahmedabad,Tea Post  A Place To Talk,200,2.9,"Indian,Beverages,Snacks",23.0365,72.561,Locality (matched)
377176,Nehru Stadium Dark Kitchen Metro Manor Sydenhams,Chennai,Wow! Momo,300,4.2,"Tibetan,Fast Food,Healthy Food,Asian,Chinese,Snacks,Continental,Desserts,Beverages",13.0827,80.2707,City-level (approximate fallback)
377203,Frazer Town,Bangalore,Amma'S Pastries,350,4.4,"Bakery,Desserts",12.9967,77.6127,Locality (matched)
377204,Salt Lake,Kolkata,Afraa Lounge,1500,4.2,"Chinese,Continental,Indian,Combo",22.585,88.418,Locality (matched)
377226,Powai,Mumbai,Tuliip'S Kitchen,200,2.9,"Thalis,Biryani",19.1176,72.906,Locality (matched)
377305,Santoshnagar & Saidabad,Hyderabad,Shawarma Station,289,3.1,"Arabian,Lebanese",17.354,78.51,Locality (matched)
377312,Sinhgad Road,Pune,Culture Biryani And Grill,280,4.6,"Indian,Continental",18.47,73.825,Locality (matched)
377315,Kalyani Nagar,Pune,Rocomamas,1000,4.2,"American,Fast Food",18.5479,73.9014,Locality (matched)
377316,Abids & Koti,Hyderabad,Ram Ki Bandi,300,4.1,South Indian,17.387,78.477,Locality (matched)
377350,Chembur,Mumbai,M. S. Snacks Center,350,2.9,"Chinese,Indian,Snacks",19.0522,72.9006,Locality (matched)
377432,Salt Lake,Kolkata,Cafe Darshani,280,3.9,South Indian,22.585,88.418,Locality (matched)
377445,Marol Sakinaka,Mumbai,Oishi Oishi By Persian Darbar,600,2.9,Chinese  Japanese  Pan-Asian  Tibetan  Asian  Beverages,19.1073,72.8873,Locality (matched)
